model,seed,true_class,predicted_class,count
DINOv2,89,01_TUMOR,06_MUCOSA,11
DINOv2,89,01_TUMOR,07_ADIPOSE,0
DINOv2,89,01_TUMOR,08_EMPTY,0
DINOv2,89,02_STROMA,01_TUMOR,9
DINOv2,89,02_STROMA,02_STROMA,412
DINOv2,89,02_STROMA,03_COMPLEX,148
DINOv2,89,02_STROMA,04_LYMPHO,1
DINOv2,89,02_STROMA,05_DEBRIS,52
DINOv2,89,02_STROMA,06_MUCOSA,3
DINOv2,89,02_STROMA,07_ADIPOSE,0
DINOv2,89,02_STROMA,08_EMPTY,0
DINOv2,89,03_COMPLEX,01_TUMOR,46
DINOv2,89,03_COMPLEX,02_STROMA,109
DINOv2,89,03_COMPLEX,03_COMPLEX,386
DINOv2,89,03_COMPLEX,04_LYMPHO,54
DINOv2,89,03_COMPLEX,05_DEBRIS,26
DINOv2,89,03_COMPLEX,06_MUCOSA,4
DINOv2,89,03_COMPLEX,07_ADIPOSE,0
DINOv2,89,03_COMPLEX,08_EMPTY,0
DINOv2,89,04_LYMPHO,01_TUMOR,8
DINOv2,89,04_LYMPHO,02_STROMA,10
DINOv2,89,04_LYMPHO,03_COMPLEX,126
DINOv2,89,04_LYMPHO,04_LYMPHO,476
DINOv2,89,04_LYMPHO,05_DEBRIS,5
DINOv2,89,04_LYMPHO,06_MUCOSA,0
DINOv2,89,04_LYMPHO,07_ADIPOSE,0
DINOv2,89,04_LYMPHO,08_EMPTY,0
DINOv2,89,05_DEBRIS,01_TUMOR,48
DINOv2,89,05_DEBRIS,02_STROMA,224
DINOv2,89,05_DEBRIS,03_COMPLEX,12
DINOv2,89,05_DEBRIS,04_LYMPHO,10
DINOv2,89,05_DEBRIS,05_DEBRIS,309
DINOv2,89,05_DEBRIS,06_MUCOSA,2
DINOv2,89,05_DEBRIS,07_ADIPOSE,12
DINOv2,89,05_DEBRIS,08_EMPTY,8
DINOv2,89,06_MUCOSA,01_TUMOR,22
DINOv2,89,06_MUCOSA,02_STROMA,1
DINOv2,89,06_MUCOSA,03_COMPLEX,15
DINOv2,89,06_MUCOSA,04_LYMPHO,3
DINOv2,89,06_MUCOSA,05_DEBRIS,1
DINOv2,89,06_MUCOSA,06_MUCOSA,582
