model,seed,case_id,images,accuracy
FrozenResNet18,151,CRC-Prim-HE-09,342,0.7280701754385965
FrozenResNet18,151,CRC-Prim-HE-10,238,0.8865546218487395
FrozenResNet18,181,CRC-Prim-HE-01,401,0.8079800498753117
FrozenResNet18,181,CRC-Prim-HE-02,284,0.7746478873239436
FrozenResNet18,181,CRC-Prim-HE-03,740,0.7175675675675676
FrozenResNet18,181,CRC-Prim-HE-04,381,0.7559055118110236
FrozenResNet18,181,CRC-Prim-HE-05,661,0.7881996974281392
FrozenResNet18,181,CRC-Prim-HE-06,1061,0.8953817153628653
FrozenResNet18,181,CRC-Prim-HE-07,503,0.7375745526838966
FrozenResNet18,181,CRC-Prim-HE-08,389,0.46272493573264784
FrozenResNet18,181,CRC-Prim-HE-09,342,0.7192982456140351
FrozenResNet18,181,CRC-Prim-HE-10,238,0.907563025210084
ResNet18,11,CRC-Prim-HE-01,401,0.885286783042394
ResNet18,11,CRC-Prim-HE-02,284,0.795774647887324
ResNet18,11,CRC-Prim-HE-03,740,0.7837837837837838
ResNet18,11,CRC-Prim-HE-04,381,0.8556430446194225
ResNet18,11,CRC-Prim-HE-05,661,0.8456883509833586
ResNet18,11,CRC-Prim-HE-06,1061,0.9236569274269557
ResNet18,11,CRC-Prim-HE-07,503,0.7833001988071571
ResNet18,11,CRC-Prim-HE-08,389,0.5269922879177378
ResNet18,11,CRC-Prim-HE-09,342,0.7865497076023392
ResNet18,11,CRC-Prim-HE-10,238,0.9495798319327731
ResNet18,23,CRC-Prim-HE-01,401,0.9276807980049875
ResNet18,23,CRC-Prim-HE-02,284,0.7887323943661971
ResNet18,23,CRC-Prim-HE-03,740,0.7743243243243243
ResNet18,23,CRC-Prim-HE-04,381,0.8766404199475065
ResNet18,23,CRC-Prim-HE-05,661,0.8426626323751891
ResNet18,23,CRC-Prim-HE-06,1061,0.882186616399623
ResNet18,23,CRC-Prim-HE-07,503,0.805168986083499
ResNet18,23,CRC-Prim-HE-08,389,0.45758354755784064
ResNet18,23,CRC-Prim-HE-09,342,0.7777777777777778
ResNet18,23,CRC-Prim-HE-10,238,0.9621848739495799
ResNet18,41,CRC-Prim-HE-01,401,0.885286783042394
ResNet18,41,CRC-Prim-HE-02,284,0.8169014084507042
ResNet18,41,CRC-Prim-HE-03,740,0.7905405405405406
ResNet18,41,CRC-Prim-HE-04,381,0.889763779527559
ResNet18,41,CRC-Prim-HE-05,661,0.8456883509833586
ResNet18,41,CRC-Prim-HE-06,1061,0.8350612629594723
ResNet18,41,CRC-Prim-HE-07,503,0.7793240556660039
ResNet18,41,CRC-Prim-HE-08,389,0.4730077120822622
ResNet18,41,CRC-Prim-HE-09,342,0.7953216374269005
ResNet18,41,CRC-Prim-HE-10,238,0.9537815126050421
ResNet18,57,CRC-Prim-HE-01,401,0.9451371571072319
ResNet18,57,CRC-Prim-HE-02,284,0.7922535211267606
ResNet18,57,CRC-Prim-HE-03,740,0.8040540540540541
ResNet18,57,CRC-Prim-HE-04,381,0.8871391076115486
ResNet18,57,CRC-Prim-HE-05,661,0.8260211800302572
ResNet18,57,CRC-Prim-HE-06,1061,0.9566446748350612
ResNet18,57,CRC-Prim-HE-07,503,0.8151093439363817
ResNet18,57,CRC-Prim-HE-08,389,0.48586118251928023
ResNet18,57,CRC-Prim-HE-09,342,0.7514619883040936
ResNet18,57,CRC-Prim-HE-10,238,0.9243697478991597
ResNet18,73,CRC-Prim-HE-01,401,0.9226932668329177
ResNet18,73,CRC-Prim-HE-02,284,0.8028169014084507
ResNet18,73,CRC-Prim-HE-03,740,0.7662162162162162
ResNet18,73,CRC-Prim-HE-04,381,0.8556430446194225
ResNet18,73,CRC-Prim-HE-05,661,0.7851739788199698
ResNet18,73,CRC-Prim-HE-06,1061,0.8916116870876531
ResNet18,73,CRC-Prim-HE-07,503,0.7872763419483101
ResNet18,73,CRC-Prim-HE-08,389,0.480719794344473
ResNet18,73,CRC-Prim-HE-09,342,0.7631578947368421
ResNet18,73,CRC-Prim-HE-10,238,0.957983193277311
ResNet18,89,CRC-Prim-HE-01,401,0.9052369077306733
ResNet18,89,CRC-Prim-HE-02,284,0.7535211267605634
ResNet18,89,CRC-Prim-HE-03,740,0.7635135135135135
ResNet18,89,CRC-Prim-HE-04,381,0.8976377952755905
ResNet18,89,CRC-Prim-HE-05,661,0.8245083207261724
ResNet18,89,CRC-Prim-HE-06,1061,0.8369462770970783
ResNet18,89,CRC-Prim-HE-07,503,0.7793240556660039
ResNet18,89,CRC-Prim-HE-08,389,0.4781491002570694
ResNet18,89,CRC-Prim-HE-09,342,0.7953216374269005
ResNet18,89,CRC-Prim-HE-10,238,0.957983193277311
ResNet18,101,CRC-Prim-HE-01,401,0.940149625935162
ResNet18,101,CRC-Prim-HE-02,284,0.7746478873239436
ResNet18,101,CRC-Prim-HE-03,740,0.8121621621621622
ResNet18,101,CRC-Prim-HE-04,381,0.910761154855643
ResNet18,101,CRC-Prim-HE-05,661,0.8048411497730711
ResNet18,101,CRC-Prim-HE-06,1061,0.8982092365692743
ResNet18,101,CRC-Prim-HE-07,503,0.7892644135188867
ResNet18,101,CRC-Prim-HE-08,389,0.4781491002570694
ResNet18,101,CRC-Prim-HE-09,342,0.7865497076023392
ResNet18,101,CRC-Prim-HE-10,238,0.9621848739495799
ResNet18,131,CRC-Prim-HE-01,401,0.9326683291770573
ResNet18,131,CRC-Prim-HE-02,284,0.795774647887324
ResNet18,131,CRC-Prim-HE-03,740,0.8013513513513514
ResNet18,131,CRC-Prim-HE-04,381,0.8556430446194225
ResNet18,131,CRC-Prim-HE-05,661,0.8245083207261724
ResNet18,131,CRC-Prim-HE-06,1061,0.8916116870876531
ResNet18,131,CRC-Prim-HE-07,503,0.7872763419483101
ResNet18,131,CRC-Prim-HE-08,389,0.493573264781491
ResNet18,131,CRC-Prim-HE-09,342,0.8304093567251462
ResNet18,131,CRC-Prim-HE-10,238,0.957983193277311
ResNet18,151,CRC-Prim-HE-01,401,0.8728179551122195
ResNet18,151,CRC-Prim-HE-02,284,0.7711267605633803
ResNet18,151,CRC-Prim-HE-03,740,0.8108108108108109
ResNet18,151,CRC-Prim-HE-04,381,0.8871391076115486
ResNet18,151,CRC-Prim-HE-05,661,0.8275340393343419
ResNet18,151,CRC-Prim-HE-06,1061,0.4062205466540999
ResNet18,151,CRC-Prim-HE-07,503,0.8011928429423459
ResNet18,151,CRC-Prim-HE-08,389,0.5038560411311054
ResNet18,151,CRC-Prim-HE-09,342,0.7748538011695907
ResNet18,151,CRC-Prim-HE-10,238,0.9663865546218487
ResNet18,181,CRC-Prim-HE-01,401,0.8977556109725686
ResNet18,181,CRC-Prim-HE-02,284,0.7464788732394366
ResNet18,181,CRC-Prim-HE-03,740,0.7878378378378378
ResNet18,181,CRC-Prim-HE-04,381,0.8792650918635171
ResNet18,181,CRC-Prim-HE-05,661,0.8714069591527988
ResNet18,181,CRC-Prim-HE-06,1061,0.9180018850141376
ResNet18,181,CRC-Prim-HE-07,503,0.7952286282306164
ResNet18,181,CRC-Prim-HE-08,389,0.4704370179948586
ResNet18,181,CRC-Prim-HE-09,342,0.7543859649122807
ResNet18,181,CRC-Prim-HE-10,238,0.9369747899159664
UNI,11,CRC-Prim-HE-01,401,0.9775561097256857
UNI,11,CRC-Prim-HE-02,284,0.9049295774647887
UNI,11,CRC-Prim-HE-03,740,0.7918918918918919
UNI,11,CRC-Prim-HE-04,381,0.9002624671916011
UNI,11,CRC-Prim-HE-05,661,0.8456883509833586
UNI,11,CRC-Prim-HE-06,1061,0.764373232799246
UNI,11,CRC-Prim-HE-07,503,0.8469184890656064
UNI,11,CRC-Prim-HE-08,389,0.519280205655527
UNI,11,CRC-Prim-HE-09,342,0.8099415204678363
UNI,11,CRC-Prim-HE-10,238,0.9453781512605042
UNI,23,CRC-Prim-HE-01,401,0.9551122194513716
UNI,23,CRC-Prim-HE-02,284,0.8485915492957746
UNI,23,CRC-Prim-HE-03,740,0.8162162162162162
UNI,23,CRC-Prim-HE-04,381,0.9133858267716536
UNI,23,CRC-Prim-HE-05,661,0.8411497730711044
UNI,23,CRC-Prim-HE-06,1061,0.8661639962299718
UNI,23,CRC-Prim-HE-07,503,0.8508946322067594
UNI,23,CRC-Prim-HE-08,389,0.5295629820051414
UNI,23,CRC-Prim-HE-09,342,0.8070175438596491
UNI,23,CRC-Prim-HE-10,238,0.9705882352941176
UNI,41,CRC-Prim-HE-01,401,0.9625935162094763
UNI,41,CRC-Prim-HE-02,284,0.8873239436619719
UNI,41,CRC-Prim-HE-03,740,0.8
UNI,41,CRC-Prim-HE-04,381,0.9133858267716536
UNI,41,CRC-Prim-HE-05,661,0.8562783661119516
UNI,41,CRC-Prim-HE-06,1061,0.8878416588124411
UNI,41,CRC-Prim-HE-07,503,0.852882703777336
UNI,41,CRC-Prim-HE-08,389,0.5295629820051414
UNI,41,CRC-Prim-HE-09,342,0.7953216374269005
UNI,41,CRC-Prim-HE-10,238,0.9663865546218487
UNI,57,CRC-Prim-HE-01,401,0.9650872817955112
UNI,57,CRC-Prim-HE-02,284,0.9225352112676056
UNI,57,CRC-Prim-HE-03,740,0.8040540540540541
UNI,57,CRC-Prim-HE-04,381,0.89501312335958
UNI,57,CRC-Prim-HE-05,661,0.8426626323751891
UNI,57,CRC-Prim-HE-06,1061,0.8030160226201697
