excluded_source_group,retained_source_groups,estimate,cohort_name,analysis_family,target_role,method_family,perturbation,grid_label,metric,model_a,model_b
CRC-Prim-HE-09,9,-0.11655933107167855,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_10_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-10,9,-0.10953052291301953,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_10_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-01,9,-0.14090568360689312,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_20_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-02,9,-0.13736814256679628,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_20_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-03,9,-0.13603926452415946,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_20_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-04,9,-0.1428821353208632,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_20_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-05,9,-0.15653768871243146,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_20_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-06,9,-0.12652231444906173,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_20_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-07,9,-0.14051356999139583,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_20_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-08,9,-0.134261399789313,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_20_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-09,9,-0.14513125675912647,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_20_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-10,9,-0.15670538544825652,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_20_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-01,9,-0.13155948567855283,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_30_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-02,9,-0.12071300727732237,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_30_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-03,9,-0.123723049091164,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_30_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-04,9,-0.13825442709463973,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_30_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-05,9,-0.13795144664091138,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_30_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-06,9,-0.10162477303967406,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_30_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-07,9,-0.1270673970543768,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_30_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-08,9,-0.11920213792179964,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_30_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-09,9,-0.1363733616275962,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_30_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-10,9,-0.16270448777378435,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_30_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-01,9,0.5497506508632302,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_5_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-02,9,0.5476631745148499,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_5_relative_target_margin_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-03,9,0.5912452211778624,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_5_relative_target_margin_reduction,FrozenResNet18,ResNet18
