cohort_name,analysis_family,model,method,perturbation,grid_label,image_seed_rows,images,seeds,source_groups,spearman_mean,spearman_median,spearman_q1,spearman_q3,positive_spearman_fraction,top_beats_random_fraction,subgroup_type,class_name,case_id,correct,confidence_group
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,local_mean,common_14,83,28,3,7,0.18179370887181653,0.199988843643666,0.10795129453577604,0.2623369378989393,0.927710843373494,0.8795180722891566,class,06_MUCOSA,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,local_mean,common_14,75,28,3,6,-0.06638034125870546,-0.0538342006072245,-0.1981878889783168,0.06707838934089835,0.38666666666666666,0.96,class,07_ADIPOSE,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,local_mean,common_14,64,24,3,2,0.08183248786335937,0.07931292782634335,0.0018945883702953998,0.1582003203468033,0.75,0.734375,class,08_EMPTY,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,71,25,3,10,-0.11887700499905354,-0.1346501026584519,-0.2214887360645156,-0.00467052889097845,0.22535211267605634,0.4225352112676056,class,01_TUMOR,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,59,21,3,9,0.154476867409411,0.1336228673429543,0.06878531186000364,0.2299603949350142,0.8983050847457628,0.5423728813559322,class,02_STROMA,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,36,13,3,7,0.013069140190242447,-0.05531162093888705,-0.14138689446883793,0.19577453003848944,0.4166666666666667,0.9166666666666666,class,03_COMPLEX,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,68,23,3,9,0.06527573548461138,0.06534437281355329,-0.003091506028416775,0.12484281490807958,0.7352941176470589,0.8382352941176471,class,04_LYMPHO,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,71,25,3,7,-0.09081577021454132,-0.1051343145614356,-0.24098367187562258,0.0041860242730438,0.2676056338028169,0.38028169014084506,class,05_DEBRIS,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,83,28,3,7,0.1672738290621547,0.179145582481333,0.0981862952131262,0.2557809847875113,0.8674698795180723,0.8795180722891566,class,06_MUCOSA,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,75,28,3,6,0.02041011699280419,0.0175457609830343,-0.1163994693578379,0.12873319573827186,0.56,0.92,class,07_ADIPOSE,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,64,24,3,2,0.12840865492276818,0.14493142825267552,0.023458231398767976,0.2503315031596394,0.765625,0.84375,class,08_EMPTY,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_7,71,25,3,10,-0.1703578614544409,-0.2091836734693877,-0.38806122448979585,-0.009030612244897901,0.23943661971830985,0.5070422535211268,class,01_TUMOR,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_7,59,21,3,9,0.20033725354548593,0.2113265306122448,0.0825510204081632,0.35285714285714276,0.8305084745762712,0.7457627118644068,class,02_STROMA,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_7,36,13,3,7,-0.06724489795918366,-0.1120918367346938,-0.22362244897959183,0.03153061224489793,0.3888888888888889,0.8611111111111112,class,03_COMPLEX,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_7,68,23,3,9,-0.08874549819927968,-0.10102040816326524,-0.20678571428571424,0.0419897959183673,0.3235294117647059,0.75,class,04_LYMPHO,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_7,71,25,3,7,-0.12624029893647595,-0.1682653061224489,-0.25346938775510197,-0.022448979591836702,0.23943661971830985,0.6619718309859155,class,05_DEBRIS,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_7,83,28,3,7,0.17511005801209145,0.1658163265306122,0.0829347544405725,0.2785204081632653,0.8313253012048193,0.8433734939759037,class,06_MUCOSA,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_7,75,28,3,6,-0.07070884353741495,-0.0730612244897959,-0.20775510204081626,0.08821428571428566,0.36,0.88,class,07_ADIPOSE,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_7,64,24,3,2,-0.11338488520408162,-0.10596938775510195,-0.3907142857142857,0.1023724489795918,0.375,0.703125,class,08_EMPTY,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,native_16,71,25,3,10,-0.042898968608640085,-0.0866674296177615,-0.1664747367818722,0.1166206511787594,0.352112676056338,0.6338028169014085,class,01_TUMOR,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,native_16,59,21,3,9,0.18003034217414793,0.1585910677500571,0.105589451247425,0.23510959947193588,0.9322033898305084,0.5254237288135594,class,02_STROMA,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,native_16,36,13,3,7,0.1534840667225713,0.1933347877088578,0.03223384927901118,0.2615980487525749,0.8055555555555556,0.9444444444444444,class,03_COMPLEX,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,native_16,68,23,3,9,0.022830633878679844,0.03743419546807045,-0.0724629525906956,0.09295051070038902,0.6617647058823529,1.0,class,04_LYMPHO,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,native_16,71,25,3,7,0.09432572447786025,0.0927064259555962,0.00509234092469665,0.1552157244220645,0.7605633802816901,0.647887323943662,class,05_DEBRIS,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,native_16,83,28,3,7,0.1907266902402462,0.1849522201876859,0.11937800411993585,0.26607883669031807,0.963855421686747,0.9879518072289156,class,06_MUCOSA,,,
