scope,model,seed,fold,image_count,class_coverage,source_group_count,accuracy,source_macro_accuracy,balanced_accuracy,macro_f1,cross_entropy_loss,test_loss
fold,CNN,57,0,401,6,1,0.7680798004987531,0.7680798004987531,0.6260788503435563,0.379837188699083,0.5515415401581015,0.5515415401581015
fold,CNN,57,1,284,6,1,0.7288732394366197,0.7288732394366197,0.5213976077117498,0.30550132219512255,0.7825399941026069,0.7825399941026069
fold,CNN,57,2,740,7,1,0.4418918918918919,0.4418918918918919,0.5090136035514188,0.4562580231307333,1.1355321855621165,1.1355321855621165
fold,CNN,57,3,381,6,1,0.7270341207349081,0.7270341207349081,0.7366272292490549,0.5603662350166729,0.7338992212683094,0.7338992212683094
fold,CNN,57,4,661,7,1,0.7413010590015129,0.7413010590015129,0.6997629687426112,0.5856766481519545,0.8790408625454313,0.8790408625454313
fold,CNN,57,5,1061,8,1,0.39491046182846373,0.39491046182846373,0.7754142300194932,0.6488780218453725,1.0414940839709028,1.0414940839709028
fold,CNN,57,6,503,7,1,0.3518886679920477,0.3518886679920477,0.3211664849801003,0.24816000471738175,1.8212035652121155,1.8212035652121155
fold,CNN,57,7,389,6,1,0.5089974293059126,0.5089974293059126,0.8165738457417823,0.4973191717792261,1.149802135616249,1.149802135616249
fold,CNN,57,8,342,6,1,0.7894736842105263,0.7894736842105263,0.8128208387371476,0.6025425764070717,0.6393082764212977,0.6393082764212977
fold,CNN,57,9,238,7,1,0.8949579831932774,0.8949579831932774,0.8748398369984594,0.7702922473337162,0.35394528938876874,0.35394528938876874
aggregate_oof,CNN,73,-1,5000,8,10,0.5948,0.6222674257884678,0.5948,0.5618443778635811,1.2018197535576391,1.2018197535576391
fold,CNN,73,0,401,6,1,0.5910224438902744,0.5910224438902744,0.5640407658790011,0.39324485545625065,1.4084686048122879,1.4084686048122879
fold,CNN,73,1,284,6,1,0.5211267605633803,0.5211267605633803,0.4117108975489332,0.20767514954278507,1.6421797923158608,1.6421797923158608
fold,CNN,73,2,740,7,1,0.6554054054054054,0.6554054054054054,0.6178126060479002,0.5517441839681883,0.9035328096476372,0.9035328096476372
